negativeId,year,repository,place,prov,region,lat,lon
6129,1925,S. Niccolò,Foligno,PG,UMBRIA,,
6130,1925,"S. Giacomo, Foligno",Foligno,PG,UMBRIA,,
6131,1925,Sta. Maria infra Portas,Foligno,PG,UMBRIA,,
6132,1926,Chiesa di S. Maria infra Portas,Foligno,PG,UMBRIA,,
6133,1925,Sta. Maria infra Portas,Foligno,PG,UMBRIA,,
6134,1925,S. Fortunato,Montefalco,PG,UMBRIA,,
6135,1925,"S. Fortunato, Montefalco",Montefalco,PG,UMBRIA,,
6136,1925,Museo communale di San Francesco,Montefalco,PG,UMBRIA,,
6137,1925,S. Rufinuccio,Assisi,PG,UMBRIA,,
6144,1925,Museo e Pinacoteca Comunale,Assisi,PG,UMBRIA,,
6145,1925,Museo e Pinacoteca Communale,Assisi,PG,UMBRIA,,
6146,1925,"Pinacoteca, Assisi",Assisi,PG,UMBRIA,,
6148,1925,Monastero di S. Giuseppe,Assisi,PG,UMBRIA,,
6150,1925,Basilica di S. Chiara,Assisi,PG,UMBRIA,,
6151,1925,Basilica di S. Chiara,Assisi,PG,UMBRIA,,
6152,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6153,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6154,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6155,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6156,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6157,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6158,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6159,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6160,1925,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,,
6163,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6164,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6165,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6166,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6167,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6168,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6169,1925,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,,
6170,1925,Sta. Maria dei Servi,Sansepolcro,AR,TOSCANA,,
6171,1925,Sta. Maria dei Servi,Sansepolcro,AR,TOSCANA,,
6179,1925,S. Domenico,Arezzo,AR,TOSCANA,,
6180,1925,S. Domenico,Arezzo,AR,TOSCANA,,
6181,1925,S. Domenico,Arezzo,AR,TOSCANA,,
6182,1925,S. Domenico,Arezzo,AR,TOSCANA,,
6184,1925,S. Domenico,Arezzo,AR,TOSCANA,,
6186,1925,Museo Statale d'Arte Medievale e Moderna,Arezzo,AR,TOSCANA,,
6189,1925,Museo Statale d'Arte Medievale e Moderna,Arezzo,AR,TOSCANA,,
6190,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6191,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6193,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6194,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6195,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6196,1925,"S. Francesco, Arezzo",Arezzo,AR,TOSCANA,,
6197,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6198,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6199,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6201,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6202,1925,S. Francesco,Arezzo,AR,TOSCANA,,
6203,1925,S. Marco,Cortona,AR,TOSCANA,,
6204,1925,Sta. Maria delle Vertighe,Monte San Savino,AR,TOSCANA,,
6205,1925,Sta. Maria delle Vertighe,Monte San Savino,AR,TOSCANA,,
6207,1925,S. Maria della Neve,Sinalunga,SI,TOSCANA,,
6208,1925,S. Bernardino,Sinalunga,SI,TOSCANA,,
6209,1925,S. Bernardino,Sinalunga,SI,TOSCANA,,
6210,1925,Sta. Lucia,Sinalunga,SI,TOSCANA,,
6211,1925,Pinacoteca,Lucignano d'Arbia,SI,TOSCANA,,
6212,1925,Sta. Croce,Sinalunga,SI,TOSCANA,,
6214,1925,SS. Flora e Lucilla,Torrita di Siena,SI,TOSCANA,,
6215,1925,S. Sigismondo,Montefollonico,SI,TOSCANA,,
6216,1925,S. Bartolommeo,Montefollonico,SI,TOSCANA,,
6220,1925,S. Francesco,Cetona,SI,TOSCANA,,
6221,1925,S. Francesco,Cetona,SI,TOSCANA,,
6222,1925,SS. Stefano e Degna,Castiglione d'Orcia,SI,TOSCANA,,
6223,1925,S. Simeone,Rocca d'Orcia,SI,TOSCANA,,
6224,1925,Pieve dei SS. Pietro e Paolo,Buonconvento,SI,TOSCANA,,
6229,1925,Pinacoteca Annessa alla Pieve dei SS. Pietro e Paolo,Buonconvento,SI,TOSCANA,,
6231,1925,Museo Civico,Montalcino,SI,TOSCANA,,
6232,1925,,Buonconvento (ex),SI,TOSCANA,,
6233,1925,Pieve dei SS. Innocenti,"Buonconvento, Piana",SI,TOSCANA,,
6235,1925,Sant'Agostino,Asciano,SI,TOSCANA,,
6240,1925,Sta. Croce,Asciano,SI,TOSCANA,,
6241,1925,Collegiata,Asciano,SI,TOSCANA,,
6244,1925,S. Francesco,Asciano,SI,TOSCANA,,
6245,1925,S. Francesco,Asciano,SI,TOSCANA,,
6247,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6248,1925,Pinacoteca Nazionale,Siena,SI,TOSCANA,,
6249,1925,Pinacoteca,Siena,SI,TOSCANA,,
6250,1925,Pinacoteca,Siena,SI,TOSCANA,,
6251,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6252,1925,Pinacoteca,Siena,SI,TOSCANA,,
6253,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6254,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6255,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6256,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6258,1925,Pinacoteca Nazionale,Siena,SI,TOSCANA,,
6259,1925,Pinacoteca,Siena,SI,TOSCANA,,
6260,1925,Pinacoteca,Siena,SI,TOSCANA,,
6261,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6262,1925,Pinacoteca,Siena,SI,TOSCANA,,
6263,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6264,1925,Pinacoteca,Siena,SI,TOSCANA,,
6265,1925,Pinacoteca,Siena,SI,TOSCANA,,
6266,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6267,1925,Pinacoteca,Siena,SI,TOSCANA,,
6268,1925,Pinacoteca,Siena,SI,TOSCANA,,
6269,1925,Pinacoteca,Siena,SI,TOSCANA,,
6270,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6271,1925,Pinacoteca,Siena,SI,TOSCANA,,
6272,1925,Pinacoteca,Siena,SI,TOSCANA,,
6273,1925,Pinacoteca,Siena,SI,TOSCANA,,
6274,1925,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,,
6275,1925,Pinacoteca,Siena,SI,TOSCANA,,
6278,1926,Pinacoteca,Siena,SI,TOSCANA,,
6279,1925,Pinacoteca,Siena,SI,TOSCANA,,
6280,1925,Pinacoteca,Siena,SI,TOSCANA,,
6281,1925,"Oratorio di San Niccolò, Manicomio",Siena,SI,TOSCANA,,
6282,1925,"Oratorio del SS. Crocifisso, Casa di Sta. Caterina",Siena,SI,TOSCANA,,
6283,1925,Ospedale di Sta. Maria della Scala,Siena,SI,TOSCANA,,
6284,1925,Società di Esecutori di Pie Disposizione,Siena,SI,TOSCANA,,
6285,1925,Museo della Società di Esecutori di Pie Disposizioni,Siena,SI,TOSCANA,,
6286,1925,Museo della Società di Esecutori di Pie Disposizioni,Siena,SI,TOSCANA,,
6288,1925,Seminario di S. Francesco,Siena,SI,TOSCANA,,
6289,1925,Seminario di S. Francesco,Siena,SI,TOSCANA,,
6300,1925,Palazzo Pubblico,Siena,SI,TOSCANA,,
6302,1925,Palazzo pubblico,Siena,SI,TOSCANA,,
6303,1925,Palazzo Pubblico,Siena,SI,TOSCANA,,
