negativeId,year,repository,place,prov,region,lat,lon
6102,1925.0,"San Francesco, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6103,1925.0,"Museo Civico, Bologna",Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6104,1925.0,S. Domenico,Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6105,1925.0,Museo Civico,Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6106,1925.0,S. Domenico,Bologna,BO,EMILIA ROMAGNA,44.4938203,11.3426327
6107,1925.0,S. Domenico,Fabriano,AN,MARCHE,43.3358407,12.9046187
6109,1925.0,S. Domenico,Fabriano,AN,MARCHE,43.3358407,12.9046187
6110,1925.0,S. Domenico,Fabriano,AN,MARCHE,43.3358407,12.9046187
6111,1925.0,S. Domenico,Fabriano,AN,MARCHE,43.3358407,12.9046187
6112,1925.0,S. Domenico,Fabriano,AN,MARCHE,43.3358407,12.9046187
6113,1925.0,S. Domenico,Fabriano,AN,MARCHE,43.3358407,12.9046187
6114,1925.0,Pinacoteca,San Severino Marche,MC,MARCHE,43.2290211,13.1779663
6115,1925.0,Pinacoteca,San Severino Marche,MC,MARCHE,43.2290211,13.1779663
6116,1925.0,"Pinacoteca, San Severino",San Severino Marche,MC,MARCHE,43.2290211,13.1779663
6118,1925.0,Pinacoteca,Camerino,MC,MARCHE,43.1357641,13.0683092
6119,1925.0,Pinacoteca,Camerino,MC,MARCHE,43.1357641,13.0683092
6120,1925.0,Pinacoteca,Camerino,MC,MARCHE,43.1357641,13.0683092
6121,1925.0,Pinacoteca,Camerino,MC,MARCHE,43.1357641,13.0683092
6122,1925.0,Pinacoteca,Camerino,MC,MARCHE,43.1357641,13.0683092
6123,1925.0,Pinacoteca,Camerino,MC,MARCHE,43.1357641,13.0683092
6126,1925.0,S. Clemente,Serrapetrona,MC,MARCHE,43.1758989,13.1886151
6127,1925.0,S. Clemente,Serrapetrona,MC,MARCHE,43.1758989,13.1886151
6128,1925.0,Chiesa,"Castelraimondo, Castel Santa Maria",MC,MARCHE,43.2075604,13.0006411
6129,1925.0,S. Niccolò,Foligno,PG,UMBRIA,42.9559744,12.7034782
6130,1925.0,"S. Giacomo, Foligno",Foligno,PG,UMBRIA,42.9559744,12.7034782
6131,1925.0,Sta. Maria infra Portas,Foligno,PG,UMBRIA,42.9559744,12.7034782
6132,1926.0,Chiesa di S. Maria infra Portas,Foligno,PG,UMBRIA,42.9559744,12.7034782
6133,1925.0,Sta. Maria infra Portas,Foligno,PG,UMBRIA,42.9559744,12.7034782
6134,1925.0,S. Fortunato,Montefalco,PG,UMBRIA,42.8918739,12.6500673
6135,1925.0,"S. Fortunato, Montefalco",Montefalco,PG,UMBRIA,42.8918739,12.6500673
6136,1925.0,Museo communale di San Francesco,Montefalco,PG,UMBRIA,42.8918739,12.6500673
6137,1925.0,S. Rufinuccio,Assisi,PG,UMBRIA,43.0711952,12.6146669
6144,1925.0,Museo e Pinacoteca Comunale,Assisi,PG,UMBRIA,43.0711952,12.6146669
6145,1925.0,Museo e Pinacoteca Communale,Assisi,PG,UMBRIA,43.0711952,12.6146669
6146,1925.0,"Pinacoteca, Assisi",Assisi,PG,UMBRIA,43.0711952,12.6146669
6148,1925.0,Monastero di S. Giuseppe,Assisi,PG,UMBRIA,43.0711952,12.6146669
6150,1925.0,Basilica di S. Chiara,Assisi,PG,UMBRIA,43.0711952,12.6146669
6151,1925.0,Basilica di S. Chiara,Assisi,PG,UMBRIA,43.0711952,12.6146669
6152,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6153,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6154,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6155,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6156,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6157,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6158,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6159,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6160,1925.0,"Chiesa Inferiore, S. Francesco",Assisi,PG,UMBRIA,43.0711952,12.6146669
6163,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6164,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6165,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6166,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6167,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6168,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6169,1925.0,"Museo Civico, Borgo San Sepolcro",Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6170,1925.0,Sta. Maria dei Servi,Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6171,1925.0,Sta. Maria dei Servi,Sansepolcro,AR,TOSCANA,43.5700776,12.1403766
6179,1925.0,S. Domenico,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6180,1925.0,S. Domenico,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6181,1925.0,S. Domenico,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6182,1925.0,S. Domenico,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6184,1925.0,S. Domenico,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6186,1925.0,Museo Statale d'Arte Medievale e Moderna,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6189,1925.0,Museo Statale d'Arte Medievale e Moderna,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6190,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6191,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6193,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6194,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6195,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6196,1925.0,"S. Francesco, Arezzo",Arezzo,AR,TOSCANA,43.5171442,11.7639282
6197,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6198,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6199,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6201,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6202,1925.0,S. Francesco,Arezzo,AR,TOSCANA,43.5171442,11.7639282
6203,1925.0,S. Marco,Cortona,AR,TOSCANA,43.2752976,11.9850623
6204,1925.0,Sta. Maria delle Vertighe,Monte San Savino,AR,TOSCANA,43.3314232,11.7253508
6205,1925.0,Sta. Maria delle Vertighe,Monte San Savino,AR,TOSCANA,43.3314232,11.7253508
6207,1925.0,S. Maria della Neve,Sinalunga,SI,TOSCANA,43.2121236,11.7364829
6208,1925.0,S. Bernardino,Sinalunga,SI,TOSCANA,43.2121236,11.7364829
6209,1925.0,S. Bernardino,Sinalunga,SI,TOSCANA,43.2121236,11.7364829
6210,1925.0,Sta. Lucia,Sinalunga,SI,TOSCANA,43.2121236,11.7364829
6211,1925.0,Pinacoteca,Lucignano d'Arbia,SI,TOSCANA,43.2126732,11.4359986
6212,1925.0,Sta. Croce,Sinalunga,SI,TOSCANA,43.2121236,11.7364829
6214,1925.0,SS. Flora e Lucilla,Torrita di Siena,SI,TOSCANA,43.1667601,11.7716466
6215,1925.0,S. Sigismondo,Montefollonico,SI,TOSCANA,43.1277238,11.7450983
6216,1925.0,S. Bartolommeo,Montefollonico,SI,TOSCANA,43.1277238,11.7450983
6220,1925.0,S. Francesco,Cetona,SI,TOSCANA,42.964431,11.9004535
6221,1925.0,S. Francesco,Cetona,SI,TOSCANA,42.964431,11.9004535
6222,1925.0,SS. Stefano e Degna,Castiglione d'Orcia,SI,TOSCANA,43.0071166,11.6155411
6223,1925.0,S. Simeone,Rocca d'Orcia,SI,TOSCANA,43.0113747,11.6141394
6224,1925.0,Pieve dei SS. Pietro e Paolo,Buonconvento,SI,TOSCANA,43.1381881,11.482096
6229,1925.0,Pinacoteca Annessa alla Pieve dei SS. Pietro e Paolo,Buonconvento,SI,TOSCANA,43.1381881,11.482096
6231,1925.0,Museo Civico,Montalcino,SI,TOSCANA,43.0575578,11.4902818
6232,1925.0,,Buonconvento (ex),SI,TOSCANA,43.1356661,11.4831826
6233,1925.0,Pieve dei SS. Innocenti,"Buonconvento, Piana",SI,TOSCANA,43.1456705,11.4615744
6235,1925.0,Sant'Agostino,Asciano,SI,TOSCANA,43.2347752,11.5594227
6240,1925.0,Sta. Croce,Asciano,SI,TOSCANA,43.2347752,11.5594227
6241,1925.0,Collegiata,Asciano,SI,TOSCANA,43.2347752,11.5594227
6244,1925.0,S. Francesco,Asciano,SI,TOSCANA,43.2347752,11.5594227
6245,1925.0,S. Francesco,Asciano,SI,TOSCANA,43.2347752,11.5594227
6247,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6248,1925.0,Pinacoteca Nazionale,Siena,SI,TOSCANA,43.167206,11.467561
6249,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6250,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6251,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6252,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6253,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6254,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6255,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6256,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6258,1925.0,Pinacoteca Nazionale,Siena,SI,TOSCANA,43.167206,11.467561
6259,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6260,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6261,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6262,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6263,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6264,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6265,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6266,1925.0,Pinacoteca Nazionale di Siena,Siena,SI,TOSCANA,43.167206,11.467561
6267,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6268,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
6269,1925.0,Pinacoteca,Siena,SI,TOSCANA,43.167206,11.467561
