city,total,year,lat,lng
Mazzurega,1,1938,45.5508116,10.865035
Avio,4,1938,45.733793,10.937181
Ala,1,1938,45.74063,10.9792
Malcesine,1,1938,45.7643442,10.8100598
Bardolino,2,1938,45.5475595,10.7242145
Lazise,1,1938,45.5052005,10.7330245
Peschiera del Garda,2,1938,45.4389454,10.6920171
Sommacampagna,3,1938,45.4077839,10.8408526
Bussolengo,9,1938,45.4741307,10.8462482
San Giorgio,2,1938,45.686088,11.0852567
Legnago,3,1938,45.192498,11.3111274
Isola della Scala,1,1938,45.2731049,11.0068888
"Oppeano, Mazzantica",2,1938,45.3014776,11.0603647
Urbana,1,1938,45.19278,11.4449
Erbè,9,1938,45.2409293,10.9684847
Solaro,19,1938,45.6165471,9.0795749
Albizzate,20,1938,45.7239432,8.8031311
Lentate sul Seveso,38,1938,45.6784049,9.1181696
Vertemate,9,1938,45.7280202,9.0722214
Cantù,25,1938,45.7395347,9.129103
"Galliano, Cantù",9,1938,45.74096,9.13084
Civate,23,1938,45.828081,9.342944
Gravedona,2,1938,46.1471878,9.3052568
Colico,7,1938,46.1363111,9.3738195
Como,13,1938,45.9394759,9.1494101
Campione del Garda,25,1938,45.7528229,10.7487784
Ascona,6,1938,46.1554222,8.7707865
Locarno,8,1938,46.1695739,8.7954859
Bellinzona,17,1938,46.1920538,9.0205888
Mesocco,7,1938,46.392173,9.2325189
Bergamo,135,1938,45.7566557,9.7542192
Lodi Vecchio,23,1938,45.301075,9.4165986
Lodi,41,1939,45.2613104,9.4916781
Pavia,103,1939,45.0368547,9.1378251
Belgioioso,3,1939,45.158565,9.313756
Milano,4,1939,45.4641943,9.1896346
San Giuliano Milanese,23,1939,45.3949933,9.2842979
Romano di Lombardia,1,1939,45.5201998,9.7552907
Treviglio,4,1939,45.5217245,9.5931485
Caravaggio,6,1939,45.4972605,9.6437404
Chiari,11,1939,45.5364624,9.928846
Esine,5,1939,45.9258392,10.2508308
Darfo,3,1939,45.8834863,10.1807068
Cislano,5,1939,45.7526494,10.1117147
Lovere,48,1939,45.8168815,10.0752136
Nembro,2,1939,45.7439737,9.7592752
Ranica,2,1939,45.7263379,9.7146629
Ponteranica,1,1939,45.7320767,9.651987
Sedrina,2,1939,45.781783,9.624051
Clusone,11,1939,45.887088,9.949656
Fino del Monte,1,1939,45.89269,9.99406
Bergamo,104,1939,45.7566557,9.7542192
Gandino,3,1939,45.8115328,9.9031182
Almenno San Salvatore,16,1939,45.7499556,9.5963684
Albino,2,1939,45.760661,9.7969489
Mezzoldo,1,1939,46.012403,9.664874
Burgusio,12,1939,46.7102136,10.5283722
Malles Venosta,2,1939,46.6879187,10.5465492
Laudes,1,1939,46.6798212,10.5333489
Glorenza,1,1939,46.6714924,10.5539127
Merano,30,1939,46.6713536,11.1646348
Lana di Sopra,4,1939,46.6152223,11.1445126
Merano,1,1939,46.6713536,11.1646348
Lana di Sotto,1,1939,46.6014055,11.1633708
Vipiteno,3,1939,46.8963235,11.4319398
Brunico,9,1939,46.7963194,11.9355121
Valdaora di Mezzo,9,1939,46.7612729,12.0295582
Cleran,5,1939,46.687617,11.6609469
Meluno,5,1939,46.6933586,11.6689444
Mara,1,1939,46.6921,11.63155
Bressanone,57,1939,46.716413,11.657792
Siena,2,,43.167206,11.467561
Mantova,3,,45.1692628,10.6708365
Pozzano,1,1932,40.6897864,14.4607533
Pisa,118,1945,43.4714722,10.6797912
Firenze,258,1949,43.7697955,11.2556404
Siena,2,1951,43.167206,11.467561
Roma,45,1951,41.8933203,12.4829321
Roma,3,,41.8933203,12.4829321
